product,strength,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,material_cost_inr,category_Construction,category_Cosmetics,category_Electronics,category_Food Packaging,category_Furniture,category_Healthcare,category_Home Appliances,category_Textiles,category_Toys,material_type_Bamboo Fiber,material_type_Bioplastic,material_type_Cornstarch Polymer,material_type_Molded Pulp,material_type_PLA Plastic,material_type_Palm Leaf,material_type_Paperboard,material_type_Recycled Plastic,material_type_Seaweed Packaging,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score
Battery Pack,0.5,0.09530612244897958,0.35,0.38571428571428573,0.32857142857142857,0.42538461538461547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,1.903079252902574,0.685515612605466
Cabinet Box,0.0,0.048775510204081635,0.8666666666666666,0.8285714285714285,0.5714285714285714,0.7815384615384616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1485714285714286,0.7219214216298763,0.29063765097875877
Fan Packaging,0.0,0.048163265306122444,0.9,0.47142857142857136,0.01428571428571429,0.08769230769230771,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.4757142857142858,0.14623172103487067,0.24860421018801226
Sofa Protection Pack,0.5,0.34734693877551015,0.06666666666666665,0.9571428571428571,0.7,0.09096153846153848,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.002857142857142861,11.885714285714283,3.6710612244897947
Perfume Box,0.0,0.9879591836734691,0.85,0.5142857142857142,0.5428571428571429,0.0476923076923077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.41285714285714287,9.40952380952381,3.2843877551020406
Table Wrap,1.0,0.9995918367346937,0.7999999999999999,0.8714285714285714,0.11428571428571427,0.3782692307692308,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.10285714285714284,2.8698790065803435,1.2019841101373683
Medicine Bottle,1.0,0.4595918367346938,0.7666666666666667,0.24285714285714283,0.7999999999999998,0.6875,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5804761904761905,2.5806451612903225,1.1442615755979813
Syringe Pack,0.0,0.13244897959183674,0.01666666666666672,0.5428571428571429,0.8999999999999999,0.08576923076923079,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.007619047619047642,9.397590361445781,2.862059421358904
First Aid Kit,0.0,0.6322448979591836,0.06666666666666665,0.9857142857142858,0.8285714285714285,0.45480769230769236,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0009523809523809488,1.7826112654412196,0.7248378014010733
Paint Can,1.0,0.2183673469387755,0.09999999999999998,0.7714285714285714,0.02857142857142858,0.24346153846153845,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02285714285714286,4.058096683286364,1.2920820662103991
Makeup Kit,0.5,0.4355102040816326,0.30000000000000004,0.9428571428571428,0.5285714285714285,0.35807692307692307,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01714285714285715,2.7944469323779666,0.9758442837950225
Bakery Box,0.5,0.7320408163265305,0.6166666666666666,0.2142857142857143,0.6142857142857143,0.4107692307692308,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.48452380952380947,2.6482110211543484,1.2078850750537873
Shirt Packaging,1.0,0.9353061224489795,0.7333333333333333,0.2285714285714286,0.35714285714285715,0.22480769230769232,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5657142857142856,5.77980577980578,2.240819284962142
Shampoo Bottle,0.0,0.12102040816326529,0.6666666666666666,0.5714285714285714,0.1571428571428572,0.44634615384615384,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2857142857142857,0.34435012943230403,0.25389687556438506
Battery Pack,1.0,0.5112244897959183,0.45000000000000007,0.4428571428571429,0.5999999999999999,0.27403846153846156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2507142857142858,5.6330399458361535,1.9435650449753359
Garment Cover,1.0,0.2320408163265306,0.2833333333333333,0.6285714285714286,0.10000000000000003,0.46769230769230774,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.10523809523809524,2.3027375201288245,0.8025287390318445
Snack Pack,0.5,0.6118367346938774,0.9833333333333333,0.5571428571428572,0.6285714285714286,0.7253846153846154,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.43547619047619046,1.534668260609683,0.8181419747815444
Face Cream Jar,1.0,0.46489795918367344,0.5833333333333334,0.8285714285714285,0.2285714285714286,0.43019230769230776,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.10000000000000003,2.790987954814953,1.016765774199588
Takeaway Container,0.5,0.6559183673469388,0.20000000000000007,0.5285714285714285,0.38571428571428573,0.5744230769230769,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.09428571428571433,1.515536125605227,0.6891506335999356
Tyre Wrap,0.0,0.9177551020408162,0.6,0.04285714285714287,0.5428571428571429,0.4638461538461538,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5742857142857142,1.145640074211503,0.8487328385899814
Face Cream Jar,1.0,0.4910204081632652,0.4833333333333333,0.2857142857142857,0.38571428571428573,0.10980769230769233,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.34523809523809523,11.566154551708323,3.755247726056714
Iron Box,0.0,0.1704081632653061,0.4833333333333333,0.02857142857142858,0.5857142857142856,0.5926923076923077,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.46952380952380945,0.9718297018871362,0.5304808833552564
PVC Pipe Bundle,0.5,0.0463265306122449,0.6666666666666666,0.01428571428571429,0.12857142857142861,0.7167307692307693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6571428571428571,0.86493025365743,0.5362341781380453
Smartphone Box,1.0,0.09224489795918366,0.2833333333333333,0.3142857142857143,0.11428571428571427,0.23403846153846158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.19428571428571428,4.5660249915569056,1.4751952525691123
Shirt Packaging,1.0,0.9289795918367346,0.1166666666666667,0.3,0.2571428571428572,0.5913461538461539,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.08166666666666668,2.0905477637169354,0.9385248733327676
Wood Panel Wrap,0.5,0.9293877551020407,0.9166666666666666,0.39999999999999997,0.2285714285714286,0.8159615384615385,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.55,0.882088807583569,0.763442968805683
Shampoo Bottle,0.0,0.5589795918367346,0.1166666666666667,0.8857142857142857,0.5714285714285714,0.12653846153846154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.013333333333333341,4.185110663983902,1.4285604100795244
Camera Box,0.5,0.5067346938775509,0.050000000000000044,0.38571428571428573,0.9714285714285713,0.9909615384615386,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.030714285714285743,1.4700150953753257,0.6053106510615772
Vacuum Cleaner Pack,1.0,0.9151020408163265,0.5499999999999999,0.9000000000000001,0.10000000000000003,0.3103846153846154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.05499999999999992,3.433373349339736,1.3265426170468189
Medicine Bottle,0.5,0.4581632653061224,0.7500000000000001,0.5714285714285714,0.2571428571428572,0.6840384615384616,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.3214285714285715,1.0909234849384475,0.5932974536447996
Car Spare Part Box,0.5,0.7759183673469388,0.9833333333333333,0.5857142857142856,0.39999999999999997,0.07884615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.40738095238095245,10.12987012987013,3.4346889301175016
Garment Cover,0.0,0.6004081632653061,0.9500000000000001,0.7428571428571429,0.8714285714285714,0.2753846153846154,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.24428571428571427,3.053523296110897,1.1938937235271465
Headphones Pack,0.5,0.5146938775510204,0.9166666666666666,0.2571428571428571,0.11428571428571427,0.49788461538461537,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.680952380952381,1.2094985665602858,0.7896386856143442
Tyre Wrap,0.5,0.037959183673469385,0.9,0.057142857142857134,0.8428571428571427,0.27903846153846157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8485714285714285,4.645946202832429,1.744600187380341
